schema_version,run_id,epoch,train_loss,train_accuracy_pct,test_loss,test_accuracy_pct,epoch_train_time_s,spike_rate_pct
1,20260802_122610_snntorch_seed1,1,0.24964,92.1317,0.0909333,96.95,132.985,3.55511
1,20260802_122610_snntorch_seed1,2,0.0842148,97.4133,0.0635822,98.01,127.496,2.81993
1,20260802_122610_snntorch_seed1,3,0.0659599,97.9633,0.0651772,98.06,123.003,2.86254
1,20260802_122610_snntorch_seed1,4,0.0581566,98.1533,0.0586707,98.12,121.276,2.5491
1,20260802_122610_snntorch_seed1,5,0.0503526,98.395,0.056911,98.23,119.759,2.78716
