schema_version,run_id,epoch,train_loss,train_accuracy_pct,test_loss,test_accuracy_pct,epoch_train_time_s,spike_rate_pct
1,20260813_131341_spikingjelly_seed0,1,0.371917,87.7,0.137596,95.33,116.987,5.79588
1,20260813_131341_spikingjelly_seed0,2,0.107045,96.6883,0.0828512,97.33,109.349,5.88937
1,20260813_131341_spikingjelly_seed0,3,0.0777451,97.6417,0.0676415,97.74,106.375,5.8762
1,20260813_131341_spikingjelly_seed0,4,0.064284,98.0617,0.0516106,98.27,100.283,5.71241
1,20260813_131341_spikingjelly_seed0,5,0.0561696,98.3433,0.0539166,98.12,96.1071,5.65489
1,20260813_132459_spikingjelly_seed1,1,0.381014,87.4483,0.129063,95.72,101.039,6.45427
1,20260813_132459_spikingjelly_seed1,2,0.110901,96.6117,0.0836109,97.32,96.7888,6.72042
1,20260813_132459_spikingjelly_seed1,3,0.0835738,97.4,0.0750314,97.61,92.2254,6.62632
1,20260813_132459_spikingjelly_seed1,4,0.0664509,97.98,0.0780126,97.51,93.757,6.70951
1,20260813_132459_spikingjelly_seed1,5,0.0598924,98.1283,0.061742,97.88,87.5336,6.38226
1,20260813_133515_spikingjelly_seed2,1,0.384914,87.1117,0.130722,95.74,88.8924,6.6192
1,20260813_133515_spikingjelly_seed2,2,0.106595,96.725,0.0790134,97.47,83.9528,6.64082
1,20260813_133515_spikingjelly_seed2,3,0.0806732,97.5733,0.0701735,97.76,80.9933,6.7298
1,20260813_133515_spikingjelly_seed2,4,0.0687026,97.8817,0.0587398,98.03,79.7298,6.53883
1,20260813_133515_spikingjelly_seed2,5,0.0598969,98.1433,0.055938,98.1,79.0031,6.14672
1,20260813_140547_spikingjelly_seed0,1,0.373527,87.6117,0.139499,95.04,100.472,5.85751
1,20260813_140547_spikingjelly_seed0,2,0.106633,96.7317,0.0725289,97.73,98.7535,5.87577
1,20260813_140547_spikingjelly_seed0,3,0.0775124,97.6417,0.0677587,97.79,97.2358,5.82732
1,20260813_140547_spikingjelly_seed0,4,0.0651127,98.015,0.0516633,98.25,96.1338,5.63312
1,20260813_140547_spikingjelly_seed0,5,0.0558652,98.3183,0.0555865,98.09,97.298,5.59156
1,20260813_141613_spikingjelly_seed1,1,0.381224,87.3867,0.130289,95.67,96.5856,6.32763
1,20260813_141613_spikingjelly_seed1,2,0.110976,96.59,0.0839351,97.28,96.343,6.61625
1,20260813_141613_spikingjelly_seed1,3,0.0821891,97.5017,0.0749746,97.84,99.8218,6.67156
1,20260813_141613_spikingjelly_seed1,4,0.068081,97.9533,0.0664067,97.83,98.1979,6.63643
1,20260813_141613_spikingjelly_seed1,5,0.0601618,98.1067,0.0686292,97.81,98.11,6.35002
1,20260813_142640_spikingjelly_seed2,1,0.38159,87.3117,0.129304,95.62,96.6999,6.56168
1,20260813_142640_spikingjelly_seed2,2,0.109259,96.6367,0.0799886,97.42,97.34,6.64256
1,20260813_142640_spikingjelly_seed2,3,0.0829962,97.4467,0.081877,97.2,96.2206,6.58969
1,20260813_142640_spikingjelly_seed2,4,0.0714456,97.805,0.0573565,98.13,97.837,6.39644
1,20260813_142640_spikingjelly_seed2,5,0.0617611,98.14,0.0588992,98.02,97.6376,6.24173
