schema_version,run_id,layer_index,layer_type,neurons,total_spikes,opportunities,spike_rate_pct
1,20260813_131341_spikingjelly_seed0,0,SpikingJellyMultiStepLIF,10800,3.05896e+07,552960000,5.53197
1,20260813_131341_spikingjelly_seed0,1,SpikingJellyMultiStepLIF,3872,9.21627e+06,198246400,4.64889
1,20260813_131341_spikingjelly_seed0,2,SpikingJellyMultiStepLIF,10,54420,512000,10.6289
1,20260813_132459_spikingjelly_seed1,0,SpikingJellyMultiStepLIF,10800,3.55559e+07,552960000,6.43011
1,20260813_132459_spikingjelly_seed1,1,SpikingJellyMultiStepLIF,3872,8.9031e+06,198246400,4.49093
1,20260813_132459_spikingjelly_seed1,2,SpikingJellyMultiStepLIF,10,54514,512000,10.6473
1,20260813_133515_spikingjelly_seed2,0,SpikingJellyMultiStepLIF,10800,3.45895e+07,552960000,6.25534
1,20260813_133515_spikingjelly_seed2,1,SpikingJellyMultiStepLIF,3872,8.39941e+06,198246400,4.23686
1,20260813_133515_spikingjelly_seed2,2,SpikingJellyMultiStepLIF,10,54832,512000,10.7094
1,20260813_140547_spikingjelly_seed0,0,SpikingJellyMultiStepLIF,10800,3.06418e+07,552960000,5.54141
1,20260813_140547_spikingjelly_seed0,1,SpikingJellyMultiStepLIF,3872,8.66275e+06,198246400,4.36969
1,20260813_140547_spikingjelly_seed0,2,SpikingJellyMultiStepLIF,10,52330,512000,10.2207
1,20260813_141613_spikingjelly_seed1,0,SpikingJellyMultiStepLIF,10800,3.59541e+07,552960000,6.50211
1,20260813_141613_spikingjelly_seed1,1,SpikingJellyMultiStepLIF,3872,8.36561e+06,198246400,4.21981
1,20260813_141613_spikingjelly_seed1,2,SpikingJellyMultiStepLIF,10,53326,512000,10.4152
1,20260813_142640_spikingjelly_seed2,0,SpikingJellyMultiStepLIF,10800,3.47514e+07,552960000,6.28461
1,20260813_142640_spikingjelly_seed2,1,SpikingJellyMultiStepLIF,3872,9.01639e+06,198246400,4.54807
1,20260813_142640_spikingjelly_seed2,2,SpikingJellyMultiStepLIF,10,54704,512000,10.6844
