schema_version,run_id,timestamp,framework,seed,config_path,config_hash,dataset,time_steps,batch_size,num_workers,binarize,denoise_us,epochs,optimizer,lr,surrogate,trainable_params,weight_fingerprint,test_accuracy_pct,train_loss_final,test_loss_final,train_time_s,train_time_per_epoch_s,inference_throughput_samples_per_s,inference_latency_bs1_ms,inference_latency_bs1_mean_ms,inference_latency_bs1_p90_ms,spike_rate_pct,peak_memory_train_mb,peak_memory_infer_mb,peak_reserved_train_mb,peak_reserved_infer_mb,nvml_update_interval_ms,idle_power_cold_w,idle_power_after_train_w,train_energy_duration_s,train_energy_j,train_energy_dynamic_j,energy_warnings,gpu_name,driver,cuda,torch_version,framework_version,python_version,platform,notes
1,20260801_215947_norse_seed0,2026-08-01T21:59:47,norse,0,config/default.yaml,2b43f3cc0175,nmnist,20,128,2,false,10000,5,nadam,0.002,circ(0.5),18254,30b4902cd20a39fe,98.53,0.0456022,0.0426819,617.863,123.573,759.547,25.6951,25.116,30.2269,2.05513,760.71,91.9199,842,842,100.508,27.9829,30.9851,696.123,34364.1,12794.7,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260801_221447_spikingjelly_seed0,2026-08-01T22:14:47,spikingjelly,0,config/default.yaml,2b43f3cc0175,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,30b4902cd20a39fe,98.57,0.0453662,0.0403061,527.164,105.433,780.758,13.746,16.3212,25.1215,2.45521,752.437,68.5684,822,822,100.622,29.5651,31.3375,603.116,27209.7,8309.59,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
1,20260801_224044_snntorch_seed0,2026-08-01T22:40:44,snntorch,0,config/default.yaml,2b43f3cc0175,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,30b4902cd20a39fe,98.49,0.0460614,0.0435627,558.978,111.796,642.091,40.7735,41.9694,44.2599,2.48479,900.984,87.6182,958,958,150.607,27.3273,31.0749,641.631,30049.4,10110.8,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260802_003427_norse_seed1,2026-08-02T00:34:27,norse,1,config/default.yaml,2b43f3cc0175,nmnist,20,128,2,false,10000,5,nadam,0.002,circ(0.5),18254,b80dbce09b1ebb09,98.15,0.0499871,0.0582578,656.53,131.306,699.743,21.1353,23.1767,24.0809,2.37217,760.71,91.9199,842,842,100.825,28.2242,30.8848,754.441,36511.8,13211,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260802_004834_spikingjelly_seed1,2026-08-02T00:48:34,spikingjelly,1,config/default.yaml,2b43f3cc0175,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,b80dbce09b1ebb09,98.25,0.0522605,0.0514602,566.238,113.248,768.734,17.9105,20.3565,26.1217,2.8372,752.437,68.5684,822,822,100.825,31.5634,31.2672,644.422,29080.1,8930.84,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
1,20260802_122610_snntorch_seed1,2026-08-02T12:26:10,snntorch,1,config/colab.yaml,fb0fbbf1df70,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,b80dbce09b1ebb09,98.23,0.0503526,0.056911,624.518,124.904,628.282,39.0065,41.3825,44.8843,2.76099,900.984,87.6182,958,958,100.601,26.2422,30.1297,709.229,32033.6,10664.7,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260802_141253_snntorch_seed2,2026-08-02T14:12:53,snntorch,2,config/default.yaml,dc869ef44c44,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,5f2de8c28fc112b2,98.45,0.0493431,0.0488165,647.385,129.477,616.347,39.9179,41.0773,45.0157,2.45424,900.984,87.6182,958,958,101.476,26.3316,29.0942,735.51,29627.7,8228.64,,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.0.0,3.12.13,Linux 6.6.122+,
1,20260802_142635_norse_seed2,2026-08-02T14:26:35,norse,2,config/default.yaml,dc869ef44c44,nmnist,20,128,2,false,10000,5,nadam,0.002,circ(0.5),18254,5f2de8c28fc112b2,98.47,0.0502724,0.0456449,611.525,122.305,675.503,21.8998,22.9554,25.2136,2.20716,760.71,91.9199,842,842,100.892,30.1911,29.9681,692.682,34035.5,13277.2,idle baseline is unstable (range 29.71-49.05 W around a mean of 29.97 W); the subtraction carries that much uncertainty.,Tesla T4,580.82.07,12.8,2.11.0+cu128,1.1.0,3.12.13,Linux 6.6.122+,
1,20260802_143942_spikingjelly_seed2,2026-08-02T14:39:42,spikingjelly,2,config/default.yaml,dc869ef44c44,nmnist,20,128,2,false,10000,5,nadam,0.002,atan(2.0),18254,5f2de8c28fc112b2,98.5,0.0483844,0.0432874,565.701,113.14,732.291,13.8523,15.9233,24.3758,2.69051,752.437,68.5684,822,822,100.78,30.5766,30.1232,640.781,27327.6,8025.28,,Tesla T4,580.82.07,12.8,2.11.0+cu128,0.0.0.0.14,3.12.13,Linux 6.6.122+,
